	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-215	7.623	7.851	8.163	7.987	8.357	8.198	8.597	9.091	7.385	8.243	8.357	8.057	8.528	8.816	8.597	8.357	9.056	8.897	8.243	8.478	8.973	8.766	8.163	8.816	8.816	8.716	8.357	8.276
hsa-miR-3651	4.501	4.501	5.217	4.323	4.613	5.269	5.051	5.594	4.748	4.264	4.881	5.557	4.892	4.995	4.881	4.099	5.176	5.176	5.014	5.251	4.719	4.385	3.777	4.553	4.685	4.613	5.335	4.763
hsa-miR-4535	3.459	2.734	NA	2.942	2.141	NA	NA	NA	NA	1.818	NA	NA	NA	0.982	NA	1.05	NA	NA	NA	NA	3.048	2.505	NA	NA	NA	NA	NA	NA
hsa-miR-513a-5p	5.306	4.6	4.763	5.269	4.79	4.624	4.553	5.681	4.543	6.294	4.774	4.734	5.014	4.719	5.468	5.352	4.922	5.136	4.701	5.051	4.822	5.014	5.176	4.892	5.335	4.822	5.041	4.922
hsa-miR-4667-5p	3.449	2.779	2.321	3.404	2.359	2.256	NA	1.527	1.615	2.723	1.337	NA	NA	0.726	NA	2.031	NA	NA	NA	NA	3.096	2.599	NA	2.222	NA	1.615	NA	NA
hsa-miR-188-5p	5.557	5.176	4.464	4.719	4.806	4.464	4.906	4.922	6.865	5.983	5.051	4.96	4.571	4.187	4.892	5.826	4.624	4.543	4.79	4.685	4.806	4.822	5.514	4.833	5.269	5.153	4.822	5.217
hsa-miR-1183	2.484	2.044	NA	3.438	1.818	NA	NA	NA	2.823	NA	NA	NA	NA	NA	NA	3.025	NA	NA	NA	NA	1.21	0.543	NA	NA	NA	NA	NA	2.141
hsa-miR-664a-5p	4.008	1.671	NA	-0.071	0.708	NA	NA	NA	NA	1.258	1.877	2.245	NA	0.737	NA	NA	NA	2.321	NA	2.697	2.443	0.982	NA	1.671	NA	0.601	2.613	NA
hsa-miR-503-5p	1.737	1.864	1.788	NA	1.527	3.015	NA	2.697	0.649	NA	1.258	1.512	2.222	0.297	NA	NA	2.302	NA	2.599	NA	2.126	0.163	NA	NA	NA	1.914	1.914	NA
hsa-miR-3605-5p	0.425	NA	NA	2.87	-0.007	NA	NA	NA	NA	NA	NA	NA	1.709	0.552	NA	2.638	NA	NA	NA	NA	NA	0.726	NA	NA	NA	NA	NA	NA
