"","ID","Name","Group","Genename","nodeDegree"
"1","0","OTUB2","1","OTU deubiquitinase, ubiquitin aldehyde binding 2",20
"2","1","CCL26","1","C-C motif chemokine ligand 26",21
"3","2","CBS","1","cystathionine beta-synthase",4
"4","3","NRAS","1","NRAS proto-oncogene, GTPase",2
"5","4","CCDC173","1","coiled-coil domain containing 173",20
"6","5","MAJIN","1","membrane anchored junction protein",19
"7","6","GPSM1","1","G protein signaling modulator 1",7
"8","7","MYO10","1","myosin X",21
"9","8","OR1L6","1","olfactory receptor family 1 subfamily L member 6",18
"10","9","SLC25A10","1","solute carrier family 25 member 10",4
"11","10","OTOP3","1","otopetrin 3",9
"12","11","FAP","1","fibroblast activation protein alpha",2
"13","12","KCNMB1","1","potassium calcium-activated channel subfamily M regulatory beta subunit 1",10
"14","13","ECH1","1","enoyl-CoA hydratase 1",17
"15","14","PLOD3","1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",8
"16","15","GTSE1-DT","1","GTSE1 divergent transcript",11
"17","16","AK4","1","adenylate kinase 4",4
"18","17","SLC25A33","1","solute carrier family 25 member 33",10
"19","18","LINC00160","1","long intergenic non-protein coding RNA 160",11
"20","19","SERINC5","1","serine incorporator 5",4
"21","20","C11orf87","1","chromosome 11 open reading frame 87",9
"22","21","CDC14C","1","cell division cycle 14C",9
"23","22","FITM1","1","fat storage inducing transmembrane protein 1",11
"24","23","RORC","1","RAR related orphan receptor C",20
"25","24","VIM","1","vimentin",4
"26","25","TACSTD2","1","tumor associated calcium signal transducer 2",2
"27","26","PGAM2","1","phosphoglycerate mutase 2",6
"28","27","TPM4","1","tropomyosin 4",13
"29","28","TMEM51","1","transmembrane protein 51",7
"30","29","EVI2A","1","ecotropic viral integration site 2A",4
"31","30","SPINT1","1","serine peptidase inhibitor, Kunitz type 1",3
"32","31","KRT35","1","keratin 35",20
"33","32","SPRR2E","1","small proline rich protein 2E",16
"34","33","SLC16A3","1","solute carrier family 16 member 3",4
"35","34","SIK2","1","salt inducible kinase 2",13
"36","35","GPC1","1","glypican 1",7
"37","36","FAM53B","1","family with sequence similarity 53 member B",5
"38","37","USP30-AS1","1","USP30 antisense RNA 1",10
"39","38","GMFB","1","glia maturation factor beta",2
"40","39","MYO1F","1","myosin IF",4
"41","40","PROP1","1","PROP paired-like homeobox 1",13
"42","41","IGFBP7","1","insulin like growth factor binding protein 7",1
"43","42","CRABP1","1","cellular retinoic acid binding protein 1",7
"44","43","CYTOR","1","cytoskeleton regulator RNA",3
"45","44","CBARP","1","CACN subunit beta associated regulatory protein",11
"46","45","OR4C15","1","olfactory receptor family 4 subfamily C member 15",14
"47","46","CD24","1","CD24 molecule",2
"48","47","FBXO48","1","F-box protein 48",17
"49","48","CBFA2T3","1","CBFA2/RUNX1 partner transcriptional co-repressor 3",2
"50","49",NA,"1",NA,11
"51","50","HCST","1","hematopoietic cell signal transducer",10
"52","51","MRAS","1","muscle RAS oncogene homolog",3
"53","52","PDK4","1","pyruvate dehydrogenase kinase 4",3
"54","53","E2F3","1","E2F transcription factor 3",9
"55","54","PAK4","1","p21 (RAC1) activated kinase 4",19
"56","55","SPP1","1","secreted phosphoprotein 1",4
"57","56","PAX4","1","paired box 4",10
"58","57","VAMP2","1","vesicle associated membrane protein 2",4
"59","58","SLC47A1","1","solute carrier family 47 member 1",7
"60","59",NA,"1",NA,12
"61","60","KANK1","1","KN motif and ankyrin repeat domains 1",3
"62","61","S100A6","1","S100 calcium binding protein A6",2
"63","62","C5orf60","1","chromosome 5 open reading frame 60",6
"64","63","GID8","1","GID complex subunit 8 homolog",9
"65","64","LOC100133331","1","uncharacterized LOC100133331",11
"66","65","SSTR1","1","somatostatin receptor 1",3
"67","66","GSTA7P","1","glutathione S-transferase alpha 7, pseudogene",2
"68","67","ZNF205","1","zinc finger protein 205",11
"69","68","RAB20","1","RAB20, member RAS oncogene family",1
"70","69","DCAF11","1","DDB1 and CUL4 associated factor 11",15
"71","70","PTBP3","1","polypyrimidine tract binding protein 3",4
"72","71","RCAN3","1","RCAN family member 3",2
"73","72","GDF7","1","growth differentiation factor 7",2
"74","73","APBB3","1","amyloid beta precursor protein binding family B member 3",2
"75","74","ANXA4","1","annexin A4",1
"76","75","ANXA2","1","annexin A2",4
"77","76","AFMID","1","arylformamidase",14
"78","77","CYP4A22","1","cytochrome P450 family 4 subfamily A member 22",4
"79","78","GABRG2","1","gamma-aminobutyric acid type A receptor gamma2 subunit",7
"80","79","LXN","1","latexin",1
"81","80","GPR183","1","G protein-coupled receptor 183",13
"82","81","TTPA","1","alpha tocopherol transfer protein",17
"83","82","ZNF358","1","zinc finger protein 358",5
"84","83","HOMER3","1","homer scaffold protein 3",1
"85","84","AEBP1","1","AE binding protein 1",1
"86","85","ITGA3","1","integrin subunit alpha 3",1
"87","86","NEURL3","1","neuralized E3 ubiquitin protein ligase 3",2
"88","87","SLC46A1","1","solute carrier family 46 member 1",8
"89","88","BBC3","1","BCL2 binding component 3",13
"90","89","TREX2","1","three prime repair exonuclease 2",7
"91","90","LUM","1","lumican",1
"92","91","CTSK","1","cathepsin K",11
"93","92","GSTP1","1","glutathione S-transferase pi 1",1
"94","93","HEXB","1","hexosaminidase subunit beta",5
"95","94","ADCY1","1","adenylate cyclase 1",3
"96","95","LGALS3","1","galectin 3",10
"97","96","GPRASP2","1","G protein-coupled receptor associated sorting protein 2",6
"98","97","SAMSN1","1","SAM domain, SH3 domain and nuclear localization signals 1",1
"99","98","FANCC","1","FA complementation group C",3
"100","99",NA,"1",NA,1
"101","100","CCT2","1","chaperonin containing TCP1 subunit 2",1
"102","101","TJP1","1","tight junction protein 1",3
"103","102","DDX11L2","1","DEAD/H-box helicase 11 like 2",9
"104","103","FBLIM1","1","filamin binding LIM protein 1",1
"105","104","IFI27L2","1","interferon alpha inducible protein 27 like 2",3
"106","105","LPA","1","lipoprotein(a)",6
"107","106","SPRR2D","1","small proline rich protein 2D",2
"108","107","ADCYAP1R1","1","ADCYAP receptor type I",10
"109","108","DHRS4-AS1","1","DHRS4 antisense RNA 1",1
"110","109","BIK","1","BCL2 interacting killer",3
"111","110","TRHR","1","thyrotropin releasing hormone receptor",9
"112","111",NA,"1",NA,7
"113","112","NDUFB7","1","NADH:ubiquinone oxidoreductase subunit B7",6
"114","113","CDCP2","1","CUB domain containing protein 2",10
"115","114","C8orf82","1","chromosome 8 open reading frame 82",3
"116","115","S100A11","1","S100 calcium binding protein A11",6
"117","116","NGEF","1","neuronal guanine nucleotide exchange factor",7
"118","117","PAIP2B","1","poly(A) binding protein interacting protein 2B",8
"119","118","CD52","1","CD52 molecule",1
"120","119","LINC01148","1","long intergenic non-protein coding RNA 1148",14
"121","120","MC2R","1","melanocortin 2 receptor",6
"122","121","DNAJC12","1","DnaJ heat shock protein family (Hsp40) member C12",1
"123","122","C19orf67","1","chromosome 19 open reading frame 67",14
"124","123","HS3ST1","1","heparan sulfate-glucosamine 3-sulfotransferase 1",2
"125","124","NUCKS1","1","nuclear casein kinase and cyclin dependent kinase substrate 1",2
"126","125","CCDC106","1","coiled-coil domain containing 106",1
"127","126","SNHG12","1","small nucleolar RNA host gene 12",1
"128","127","CEP89","1","centrosomal protein 89",3
"129","128","MSANTD1","1","Myb/SANT DNA binding domain containing 1",8
"130","129","KRT23","1","keratin 23",3
"131","130","LRRC10","1","leucine rich repeat containing 10",13
"132","131","GLS2","1","glutaminase 2",8
"133","132","RHOH","1","ras homolog family member H",2
"134","133","C12orf75","1","chromosome 12 open reading frame 75",1
"135","134","MACROH2A1","1","macroH2A.1 histone",9
"136","135","ANXA5","1","annexin A5",3
"137","136","LRRC24","1","leucine rich repeat containing 24",10
"138","137","OCEL1","1","occludin/ELL domain containing 1",2
"139","138","TRIM35","1","tripartite motif containing 35",5
"140","139","CLDN11","1","claudin 11",1
"141","140",NA,"1",NA,4
"142","141","HSD17B14","1","hydroxysteroid 17-beta dehydrogenase 14",10
"143","142","ADAMTSL3","1","ADAMTS like 3",1
"144","143","C3orf52","1","chromosome 3 open reading frame 52",3
"145","144","PLXDC2","1","plexin domain containing 2",1
"146","145","SNAI1","1","snail family transcriptional repressor 1",6
"147","146","PCSK1N","1","proprotein convertase subtilisin/kexin type 1 inhibitor",9
"148","147","NYNRIN","1","NYN domain and retroviral integrase containing",7
"149","148","KRTAP10-12","1","keratin associated protein 10-12",1
"150","149","TNFRSF21","1","TNF receptor superfamily member 21",3
"151","150","HDGFL1","1","HDGF like 1",4
"152","151","GBE1","1","1,4-alpha-glucan branching enzyme 1",2
"153","152","KRT19","1","keratin 19",3
"154","153","TFF1","1","trefoil factor 1",6
"155","154","AMT","1","aminomethyltransferase",5
"156","155","KCNV2","1","potassium voltage-gated channel modifier subfamily V member 2",4
"157","156","BDKRB2","1","bradykinin receptor B2",2
"158","157","LYN","1","LYN proto-oncogene, Src family tyrosine kinase",3
"159","158","C15orf48","1","chromosome 15 open reading frame 48",3
"160","159","CLTA","1","clathrin light chain A",3
"161","160","MAP7D1","1","MAP7 domain containing 1",2
"162","161","FJX1","1","four-jointed box kinase 1",1
"163","162","HIF1A","1","hypoxia inducible factor 1 subunit alpha",1
"164","163","CLIC1","1","chloride intracellular channel 1",5
"165","164","NPC2","1","NPC intracellular cholesterol transporter 2",1
"166","165","EPB41L3","1","erythrocyte membrane protein band 4.1 like 3",3
"167","166","SPINT2","1","serine peptidase inhibitor, Kunitz type 2",3
"168","167","PMEPA1","1","prostate transmembrane protein, androgen induced 1",1
"169","168","C3orf85","1","chromosome 3 open reading frame 85",3
"170","169","AQP1","1","aquaporin 1 (Colton blood group)",2
"171","170","TUBB2A","1","tubulin beta 2A class IIa",1
"172","171","BTBD6","1","BTB domain containing 6",11
"173","172","IER3","1","immediate early response 3",3
"174","173","ZCCHC9","1","zinc finger CCHC-type containing 9",7
"175","174","LAD1","1","ladinin 1",3
"176","175","STIMATE","1","STIM activating enhancer",2
"177","176",NA,"1",NA,7
"178","177","ZBTB33","1","zinc finger and BTB domain containing 33",2
"179","178","LOC100132874","1","uncharacterized LOC100132874",1
"180","179","MCUB","1","mitochondrial calcium uniporter dominant negative beta subunit",1
"181","180","AGMAT","1","agmatinase",1
"182","181","ATP1B3","1","ATPase Na+/K+ transporting subunit beta 3",12
"183","182","FAM3B","1","family with sequence similarity 3 member B",1
"184","183","METRNL","1","meteorin like, glial cell differentiation regulator",3
"185","184","CCL20","1","C-C motif chemokine ligand 20",1
"186","185","STMN2","1","stathmin 2",1
"187","186","PKLR","1","pyruvate kinase L/R",3
"188","187","EPCAM","1","epithelial cell adhesion molecule",1
"189","188","VIL1","1","villin 1",1
"190","189","PRXL2B","1","peroxiredoxin like 2B",1
"191","190",NA,"1",NA,1
"192","191","PGM1","1","phosphoglucomutase 1",4
"193","192","UCHL1","1","ubiquitin C-terminal hydrolase L1",1
"194","193","PFKP","1","phosphofructokinase, platelet",1
"195","194","CYTIP","1","cytohesin 1 interacting protein",1
"196","195","BHLHE41","1","basic helix-loop-helix family member e41",5
"197","196","HMGCS2","1","3-hydroxy-3-methylglutaryl-CoA synthase 2",2
"198","197","ITCH","1","itchy E3 ubiquitin protein ligase",8
"199","198","ATP6AP1","1","ATPase H+ transporting accessory protein 1",1
"200","199","DNAJC4","1","DnaJ heat shock protein family (Hsp40) member C4",2
"201","200","DLEU1","1","deleted in lymphocytic leukemia 1",1
"202","201","ELOVL7","1","ELOVL fatty acid elongase 7",1
"203","202","SCARNA10","1","small Cajal body-specific RNA 10",2
"204","203","ITM2C","1","integral membrane protein 2C",3
"205","204","LINC01761","1","long intergenic non-protein coding RNA 1761",2
"206","205","RPL21","1","ribosomal protein L21",3
"207","206","ITIH3","1","inter-alpha-trypsin inhibitor heavy chain 3",1
"208","207","KMT2C","1","lysine methyltransferase 2C",2
"209","208","KANK4","1","KN motif and ankyrin repeat domains 4",6
"210","209","TNFAIP2","1","TNF alpha induced protein 2",2
"211","210","RGS9","1","regulator of G protein signaling 9",9
"212","211","PITX3","1","paired like homeodomain 3",7
"213","212","ADGRG7","1","adhesion G protein-coupled receptor G7",2
"214","213","KIAA1324L","1","KIAA1324 like",1
"215","214","TIMP1","1","TIMP metallopeptidase inhibitor 1",1
"216","215","SSH1","1","slingshot protein phosphatase 1",1
"217","216","GPRC5D","1","G protein-coupled receptor class C group 5 member D",6
"218","217","CFTR","1","CF transmembrane conductance regulator",1
"219","218","MARCHF6","1","membrane associated ring-CH-type finger 6",5
"220","219","ITGBL1","1","integrin subunit beta like 1",1
"221","220","TNFAIP8","1","TNF alpha induced protein 8",1
"222","221","NEK3","1","NIMA related kinase 3",3
"223","222","PLCB2","1","phospholipase C beta 2",3
"224","223","TESC","1","tescalcin",1
"225","224","MPND","1","MPN domain containing",1
"226","225","PTPN12","1","protein tyrosine phosphatase non-receptor type 12",1
"227","226","TBKBP1","1","TBK1 binding protein 1",2
"228","227","STK39","1","serine/threonine kinase 39",3
"229","228","C16orf58","1","chromosome 16 open reading frame 58",4
"230","229","SH3BGRL2","1","SH3 domain binding glutamate rich protein like 2",2
"231","230","XYLB","1","xylulokinase",2
"232","231","SCARNA13","1","small Cajal body-specific RNA 13",3
"233","232","PRR25","1","proline rich 25",4
"234","233","WFDC2","1","WAP four-disulfide core domain 2",2
"235","234","SINHCAF","1","SIN3-HDAC complex associated factor",1
"236","235","BCL2","1","BCL2 apoptosis regulator",3
"237","236","SLC26A2","1","solute carrier family 26 member 2",1
"238","237",NA,"1",NA,7
"239","238","SELENOM","1","selenoprotein M",1
"240","239","RUNX3","1","RUNX family transcription factor 3",2
"241","240","CDR2","1","cerebellar degeneration related protein 2",1
"242","241","ATP8B1","1","ATPase phospholipid transporting 8B1",1
"243","242","LY6E-DT","1","LY6E divergent transcript",3
"244","243",NA,"1",NA,3
"245","244","RXRA","1","retinoid X receptor alpha",5
"246","245",NA,"1",NA,3
"247","246","RFX5","1","regulatory factor X5",1
"248","247","TNFRSF11B","1","TNF receptor superfamily member 11b",1
"249","248","HSD17B1","1","hydroxysteroid 17-beta dehydrogenase 1",4
"250","249","HADH","1","hydroxyacyl-CoA dehydrogenase",5
"251","250","RBAK-RBAKDN","1","RBAK-RBAKDN readthrough",7
"252","251","SLC22A14","1","solute carrier family 22 member 14",2
"253","252","RAB7B","1","RAB7B, member RAS oncogene family",2
"254","253","RHOD","1","ras homolog family member D",1
"255","254","DNHD1","1","dynein heavy chain domain 1",4
"256","255","H1-7","1","H1.7 linker histone",1
"257","256","EBLN3P","1","endogenous Bornavirus like nucleoprotein 3, pseudogene",1
"258","257","GFPT2","1","glutamine-fructose-6-phosphate transaminase 2",1
"259","258","CNDP1","1","carnosine dipeptidase 1",3
"260","259","ACMSD","1","aminocarboxymuconate semialdehyde decarboxylase",3
"261","260","ANXA3","1","annexin A3",1
"262","261","GPRIN2","1","G protein regulated inducer of neurite outgrowth 2",1
"263","262","DBNDD1","1","dysbindin domain containing 1",2
"264","263","CXCL5","1","C-X-C motif chemokine ligand 5",2
"265","264","SLC16A6","1","solute carrier family 16 member 6",8
"266","265","CYP4F2","1","cytochrome P450 family 4 subfamily F member 2",2
"267","266","IVD","1","isovaleryl-CoA dehydrogenase",2
"268","267","SERPINE2","1","serpin family E member 2",1
"269","268","SLC34A1","1","solute carrier family 34 member 1",4
"270","269","PDGFA","1","platelet derived growth factor subunit A",2
"271","270","ITGAX","1","integrin subunit alpha X",3
"272","271","CD63","1","CD63 molecule",1
"273","272","GAMT","1","guanidinoacetate N-methyltransferase",2
"274","273","DCN","1","decorin",1
"275","274","RAB31","1","RAB31, member RAS oncogene family",2
"276","275","ACADS","1","acyl-CoA dehydrogenase short chain",4
"277","276","OR1S2","1","olfactory receptor family 1 subfamily S member 2",8
"278","277","GLA","1","galactosidase alpha",2
"279","278","C1orf216","1","chromosome 1 open reading frame 216",1
"280","279","SPI1","1","Spi-1 proto-oncogene",3
"281","280","PAN2","1","poly(A) specific ribonuclease subunit PAN2",2
"282","281","SERPINA5","1","serpin family A member 5",2
"283","282","EPHX2","1","epoxide hydrolase 2",1
"284","283","HRAS","1","HRas proto-oncogene, GTPase",1
"285","284","ALPK3","1","alpha kinase 3",1
"286","285","BEX2","1","brain expressed X-linked 2",3
"287","286","GAS2L3","1","growth arrest specific 2 like 3",1
"288","287","HPN","1","hepsin",1
"289","288","CCRL2","1","C-C motif chemokine receptor like 2",1
"290","289","IFITM3","1","interferon induced transmembrane protein 3",17
"291","290","ZG16","1","zymogen granule protein 16",3
"292","291","MDN1","1","midasin AAA ATPase 1",1
"293","292","EVI2B","1","ecotropic viral integration site 2B",14
"294","293","ALDH7A1","1","aldehyde dehydrogenase 7 family member A1",1
"295","294","ASPA","1","aspartoacylase",1
"296","295","C1RL","1","complement C1r subcomponent like",4
"297","296","SMIM3","1","small integral membrane protein 3",1
"298","297","RAB25","1","RAB25, member RAS oncogene family",1
"299","298","RAD51AP2","1","RAD51 associated protein 2",11
"300","299","NFAM1","1","NFAT activating protein with ITAM motif 1",1
"301","300","PROC","1","protein C, inactivator of coagulation factors Va and VIIIa",1
"302","301","CFB","1","complement factor B",1
"303","302","ZNF511","1","zinc finger protein 511",5
"304","303","THBD","1","thrombomodulin",1
"305","304","CLEC4M","1","C-type lectin domain family 4 member M",3
"306","305","LINC02052","1","long intergenic non-protein coding RNA 2052",2
"307","306","SDC2","1","syndecan 2",3
"308","307","CAPG","1","capping actin protein, gelsolin like",1
"309","308","CARMIL3","1","capping protein regulator and myosin 1 linker 3",1
"310","309","JAZF1-AS1","1","JAZF1 antisense RNA 1",5
"311","310","WBP1","1","WW domain binding protein 1",5
"312","311","RARRES1","1","retinoic acid receptor responder 1",1
"313","312","MYO9B","1","myosin IXB",2
"314","313","LOC100128288","1","uncharacterized LOC100128288",4
"315","314","SH2D3A","1","SH2 domain containing 3A",2
"316","315","TCEAL9","1","transcription elongation factor A like 9",1
"317","316",NA,"1",NA,1
"318","317","CACNA1H","1","calcium voltage-gated channel subunit alpha1 H",2
"319","318","BRINP3","1","BMP/retinoic acid inducible neural specific 3",5
"320","319","TRIM16","1","tripartite motif containing 16",1
"321","320","PLEKHB2","1","pleckstrin homology domain containing B2",3
"322","321","OGFRL1","1","opioid growth factor receptor like 1",1
"323","322","TRIM47","1","tripartite motif containing 47",1
"324","323","NAV2-AS4","1","NAV2 antisense RNA 4",1
"325","324","NOSTRIN","1","nitric oxide synthase trafficking",4
"326","325","C22orf15","1","chromosome 22 open reading frame 15",1
"327","326","DAPK2","1","death associated protein kinase 2",1
"328","327","ACSM3","1","acyl-CoA synthetase medium chain family member 3",2
"329","328","ITGA6","1","integrin subunit alpha 6",2
"330","329","LOC100507507","1","uncharacterized LOC100507507",3
"331","330","CXXC4","1","CXXC finger protein 4",1
"332","331","TSPO","1","translocator protein",6
"333","332","ZG16B","1","zymogen granule protein 16B",1
"334","333","EFEMP1","1","EGF containing fibulin extracellular matrix protein 1",1
"335","334",NA,"1",NA,1
"336","335","CROCC2","1","ciliary rootlet coiled-coil, rootletin family member 2",1
"337","336","YBX3","1","Y-box binding protein 3",1
"338","337","FXYD1","1","FXYD domain containing ion transport regulator 1",3
"339","338","SCRN2","1","secernin 2",2
"340","339","CARD6","1","caspase recruitment domain family member 6",1
"341","340","CXorf49B","1","chromosome X open reading frame 49B",3
"342","341","ITGAM","1","integrin subunit alpha M",1
"343","342","SLC16A1","1","solute carrier family 16 member 1",4
"344","343","CBLC","1","Cbl proto-oncogene C",2
"345","344","MMP14","1","matrix metallopeptidase 14",1
"346","345","ZYX","1","zyxin",1
"347","346","GBA3","1","glucosylceramidase beta 3 (gene/pseudogene)",1
"348","347","LIMCH1","1","LIM and calponin homology domains 1",3
"349","348","TTL","1","tubulin tyrosine ligase",2
"350","349","LIMS4","1","LIM zinc finger domain containing 4",1
"351","350","GNA13","1","G protein subunit alpha 13",1
"352","351","ITGAV","1","integrin subunit alpha V",1
"353","352","PBX4","1","PBX homeobox 4",1
"354","353","IGFALS","1","insulin like growth factor binding protein acid labile subunit",1
"355","354","CTR9","1","CTR9 homolog, Paf1/RNA polymerase II complex component",3
"356","355","GPR88","1","G protein-coupled receptor 88",1
"357","356","DUSP5","1","dual specificity phosphatase 5",3
"358","357","VSNL1","1","visinin like 1",3
"359","358","MARC2","1","mitochondrial amidoxime reducing component 2",1
"360","359","DNAJC25","1","DnaJ heat shock protein family (Hsp40) member C25",2
"361","360","MORN1","1","MORN repeat containing 1",1
"362","361","MYL5","1","myosin light chain 5",5
"363","362","ARMC5","1","armadillo repeat containing 5",1
"364","363","KRT18P55","1","keratin 18 pseudogene 55",1
"365","364","TPM3","1","tropomyosin 3",1
